CAS,115-11-7,78-79-5,seg-IB-R,seg-IP-R,7647-01-0,74-87-3,563-43-9,110-54-3
name,IB,IP,IB-seg,IP-seg,HCL,CH3CL,EADC,n-HEXANE
MW,56.1075,68.1185,56.1075,68.1185,36.4606,50.4875,126.949,86.1772
DHFORM,-17.1,75.7304,,,-92.31,-85.7,-470.931,-166.94
CPIG1,,,-66039,-56348,,,,
CPIG2,,,715.84,704.92,,,,
CPIG3,,,-0.7804,-0.7491,,,,
CPIG4,,,0.0003255,0.0003147,,,,
CPIG5,,,0,0,,,,
CPIG6,,,0,0,,,,
CPIG7,,,280,280,,,,
CPIG8,,,1000,1000,,,,
CPIG9,,,36029.2,36029.2,,,,
CPIG10,,,0.142427,1.24283,,,,
CPIG11,,,2.244683,1.892535,,,,
CPIGDIP1,35463.9,65270,,,29157,36220,83270,104400
CPIGDIP2,229574.8,229930,,,9048,69810,169950,352300
CPIGDIP3,1166.14,1494.3,,,2093.8,1805,809.04,1694.6
CPIGDIP4,116871.6,151640,,,-107,44470,56347,236900
CPIGDIP5,394.9803,647.15,,,120,844.27,2323.1,761.6
CPIGDIP6,25,200,,,50,298.15,298.15,200
CPIGDIP7,1226.85,1500,,,1500,1500,1500,1500
PCFTM,2.4738,2.5057,,,3.0576,2.4161,3.0576,3.0576
PCFTR,,,0.0238,0.0238,,,,
PCFTU,220.42,240.96,223,252.601,236.77,200.07,236.77,236.77
PCFTV,3.5688,3.791,4.088,3.6467,3.7983,3.4051,3.7983,3.7983
DVAMVDW,,,69.1,81.8,,,,
Tg,,,199,200,,,,
CTE,,,0.00074,0.00022,,,,
CpsTref,,,94,108,,,,
CplTref,,,109.6,129.8,,,,
AC,,,2226000000000100,4143000000000101,,,,
ANum,,,12,13,,,,
